Business_name	Business_phone_number	Business_homepage_URL	Business_Address	Opening_hours	Takes_Reservations	Delivery	TAKE_OUT	Accepts_Credit_Cards	Accepts_Apple_Pay	Accepts_Android_Pay	Accepts_Bitcoin	Good_For	Parking	Bike_Parking	Good_for_Kids	Good_for_Groups	Attire	Ambience	Noise_Level	Alcohol	Outdoor_Seating	Wi_Fi	Has_TV	Caters	Gender_Neutral_Restrooms	contact_US	emails
Chicks and Love Pizza Patio	(415) 912-6647	NA	1701 Folsom StSan Francisco, CA 94103 b/t 13th St & Central Fwy Mission	Mon --> 11:00 am - 3:00 pm ; Tue --> 11:00 am - 5:30 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 5:30 pm ; Fri --> 11:00 am - 2:30 pm ; Sat --> NA - NA ; Sun --> NA - NA ;	Yes	Yes	Yes	Yes	Yes	Yes	No	Breakfast, Brunch, Lunch	Garage, Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	No	No	Yes	Yes	NA	NA
Chile Lindo Empanadas	(415) 621-6108	chilelindo.com	2944 16th StSan Francisco, CA 94103 b/t Van Ness Ave & Capp St Mission	Mon --> 8:00 am - 8:00 pm ; Tue --> 8:00 am - 8:00 pm ; Wed --> NA - NA ; Thu --> 8:00 am - 8:00 pm ; Fri --> 8:00 am - 8:00 pm ; Sat --> 10:00 am - 6:00 pm ; Sun --> NA - NA ;	No	No	Yes	Yes	No	No	NA	Lunch	Street	Yes	Yes	No	Casual	Casual	Average	No	Yes	Free	No	Yes	NA	http://chilelindo.com/contact-us/	NA
Chiotras Grocery	(415) 824-2353	NA	858 Rhode Island StSan Francisco, CA 94107 b/t Southern Heights Ave & 20th St Potrero Hill	Mon --> 7:30 am - 7:30 pm ; Tue --> 7:30 am - 7:00 pm ; Wed --> NA - NA ; Thu --> 7:30 am - 7:00 pm ; Fri --> 7:30 am - 7:30 pm ; Sat --> 8:30 am - 7:30 pm ; Sun --> 8:30 am - 6:00 pm ;	No	No	Yes	Yes	NA	NA	NA	NA	Street	Yes	Yes	No	Casual	Casual	Quiet	Beer & Wine Only	Yes	No	No	No	NA	NA	NA
Chloe’s Cafe	(415) 648-4116	NA	1399 Church StSan Francisco, CA 94114 b/t Clipper St & 26th St Noe Valley	Mon --> 8:00 am - 3:00 pm ; Tue --> 8:00 am - 3:00 pm ; Wed --> NA - NA ; Thu --> 8:00 am - 3:00 pm ; Fri --> 8:00 am - 3:00 pm ; Sat --> 8:00 am - 2:30 pm ; Sun --> 8:00 am - 2:30 pm ;	No	No	Yes	Yes	No	No	NA	Breakfast, Brunch	Street	Yes	Yes	No	Casual	Casual	Average	No	Yes	No	No	No	Yes	NA	NA
Choice Yakiniku	(415) 206-9755	NA	5214-A Diamond Heights BlvdSan Francisco, CA 94131 b/t Gold Mine Dr & Safira Ln Diamond Heights	Mon --> 9:00 am - 9:00 pm ; Tue --> 9:00 am - 9:00 pm ; Wed --> NA - NA ; Thu --> 9:00 am - 9:00 pm ; Fri --> 9:00 am - 9:00 pm ; Sat --> 9:00 am - 9:00 pm ; Sun --> NA - NA ;	No	No	Yes	Yes	No	NA	NA	Lunch, Dinner	Private Lot	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	No	No	NA	NA	NA
Cholo Soy	(415) 312-7232	NA	2301 Mission StPlaza AdelanteSan Francisco, CA 94110 b/t 19th St & 20th St Mission	Mon --> 8:00 am - 5:00 pm ; Tue --> 8:00 am - 5:00 pm ; Wed --> NA - NA ; Thu --> 8:00 am - 5:00 pm ; Fri --> 8:00 am - 5:00 pm ; Sat --> 8:00 am - 5:00 pm ; Sun --> NA - NA ;	No	No	Yes	Yes	No	NA	NA	NA	Street	Yes	Yes	No	Casual	Casual	Average	No	No	No	No	No	NA	NA	NA
Chomp N’ Swig	(415) 683-5946	chompnswig.eat24hour.com	1541 Clement StSan Francisco, CA 94118 b/t 17th Ave & 16th Ave Inner Richmond	Mon --> 10:00 am - 9:00 pm ; Tue --> 10:00 am - 9:00 pm ; Wed --> NA - NA ; Thu --> 10:00 am - 11:00 pm ; Fri --> 10:00 am - 11:00 pm ; Sat --> 10:00 am - 11:00 pm ; Sun --> 10:00 am - 9:00 pm ;	No	No	Yes	Yes	Yes	No	NA	Lunch	Street	Yes	No	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	Free	Yes	No	Yes	https://chompnswig.eat24hour.com/	NA
ChouChou French Bistro	(415) 242-0960	chouchoubistro.com	400 Dewey BlvdSan Francisco, CA 94116 b/t Pacheco St & Laguna Honda Blvd Forest Hill	Mon --> NA - NA ; Tue --> 5:30 pm - 9:00 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 2:30 pm5:30 pm - 9:00 pm ; Fri --> 11:30 am - 2:30 pm5:30 pm - 9:30 pm ; Sat --> 11:30 am - 2:30 pm5:30 pm - 9:30 pm ; Sun --> 11:30 am - 2:30 pm5:30 pm - 9:00 pm ;	Yes	No	Yes	Yes	No	No	NA	NA	Street, Private Lot	Yes	No	Yes	Casual	Intimate	Average	Beer & Wine Only	No	Free	No	Yes	Yes	http://www.chouchoubistro.com/contact-us/	contact@chouchousf.com
Chow	(415) 552-2469	chowfoodbar.com	215 Church StSan Francisco, CA 94114 b/t 15th St & Market St Castro	Mon --> 8:00 am - 10:30 pm ; Tue --> 8:00 am - 10:30 pm ; Wed --> NA - NA ; Thu --> 8:00 am - 10:30 pm ; Fri --> 8:00 am - 11:00 pm ; Sat --> 8:00 am - 11:00 pm ; Sun --> 8:00 am - 10:30 pm ;	Yes	No	Yes	Yes	No	No	No	Lunch, Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	Free	No	No	Yes	https://chowfoodbar.com/contact/	NA
Chubby Noodle	(415) 655-3335	chubbynoodle.com	2205 Lombard StSan Francisco, CA 94123 b/t Steiner St & United States Highway 101 Marina/Cow Hollow	Mon --> 5:30 pm - 11:00 pm ; Tue --> 5:30 pm - 11:00 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 11:00 pm ; Fri --> 5:30 pm - 11:00 pm ; Sat --> 10:00 am - 11:00 pm ; Sun --> 10:00 am - 11:00 pm ;	Yes	No	Yes	Yes	No	No	NA	Brunch	Street	Yes	No	Yes	Casual	Casual, Trendy	Loud	Beer & Wine Only	No	No	No	No	Yes	https://www.chubbynoodle.com/	NA
Church Street Cafe	(415) 621-2233	NA	260 Church StSan Francisco, CA 94114 b/t 15th St & Market St Castro	Mon --> 6:00 am - 10:00 pm ; Tue --> 6:00 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 6:00 am - 10:00 pm ; Fri --> 6:00 am - 10:00 pm ; Sat --> 7:00 am - 10:00 pm ; Sun --> 7:00 am - 10:00 pm ;	No	No	Yes	No	No	No	NA	NA	Street	Yes	Yes	Yes	Casual	NA	Average	No	Yes	Free	No	No	Yes	NA	NA
Church Street Groceteria	(415) 660-5147	NA	300 Church StSan Francisco, CA 94114 b/t 16th St & 15th St Castro	Mon --> 7:00 am - 10:00 pm ; Tue --> 7:00 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 7:00 am - 10:00 pm ; Fri --> 7:00 am - 10:00 pm ; Sat --> 7:00 am - 9:30 pm ; Sun --> 7:00 am - 9:00 pm ;	NA	No	Yes	Yes	No	NA	NA	NA	Street	Yes	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cindy’s Market	(415) 221-7403	NA	2084 Hayes StSan Francisco, CA 94117 b/t Clayton St & Cole St NoPa	Mon --> NA - NA ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> NA - NA ; Fri --> NA - NA ; Sat --> NA - NA ; Sun --> NA - NA ;	No	No	Yes	Yes	NA	NA	NA	Lunch	Street	Yes	Yes	No	Casual	NA	Average	Beer & Wine Only	No	NA	Yes	NA	NA	NA	NA
Clancey’s Market &amp; Deli	(415) 681-9569	NA	3960 Irving StSan Francisco, CA 94122 b/t 41st Ave & 40th Ave Outer Sunset	Mon --> 9:00 am - 10:00 pm ; Tue --> 9:00 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 9:00 am - 10:00 pm ; Fri --> 9:00 am - 10:00 pm ; Sat --> 9:00 am - 10:00 pm ; Sun --> 9:00 am - 8:00 pm ;	No	No	Yes	Yes	No	No	NA	Lunch	Street	Yes	Yes	No	Casual	Casual	Average	Beer & Wine Only	Yes	No	Yes	No	NA	NA	NA
Cockscomb	(415) 974-0700	cockscombsf.com	564 4th StSan Francisco, CA 94107 b/t Welsh St & Freelon St Mission Bay	Mon --> 11:30 am - 1:30 pm5:00 pm - 11:00 pm ; Tue --> 11:30 am - 1:30 pm5:00 pm - 11:00 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 1:30 pm5:00 pm - 11:00 pm ; Fri --> 11:30 am - 1:30 pm5:00 pm - 11:00 pm ; Sat --> 5:00 pm - 11:00 pm ; Sun --> NA - NA ;	Yes	No	No	Yes	No	No	No	Dinner	Street	Yes	No	Yes	Casual	Trendy	Average	Full Bar	No	No	No	No	Yes	http://cockscombsf.com/contact/	NA
Coffee Bar	(415) 551-8100	coffeebarsf.com	1890 Bryant StSan Francisco, CA 94110 b/t Mariposa St & 17th St Mission	Mon --> 7:00 am - 2:00 pm ; Tue --> 7:00 am - 2:00 pm ; Wed --> NA - NA ; Thu --> 7:00 am - 2:00 pm ; Fri --> 7:00 am - 2:00 pm ; Sat --> 8:00 am - 2:00 pm ; Sun --> 8:00 am - 2:00 pm ;	No	No	Yes	Yes	No	No	NA	Breakfast, Lunch	Street	Yes	No	Yes	Casual	Hipster, Casual	Average	Beer & Wine Only	Yes	Free	No	No	Yes	http://www.coffeebarsf.com/contact	info@coffeebarsf.com
Coffee Cultures	(415) 896-4272	coffee-cultures.com	1301 Mission StSan Francisco, CA 94103 b/t Washburn St & 9th St SoMa	Mon --> 7:00 am - 6:00 pm ; Tue --> 7:00 am - 6:00 pm ; Wed --> NA - NA ; Thu --> 7:00 am - 6:00 pm ; Fri --> 7:00 am - 6:00 pm ; Sat --> 8:00 am - 4:00 pm ; Sun --> 8:00 am - 4:00 pm ;	No	No	Yes	Yes	No	Yes	NA	Breakfast	Street	Yes	Yes	Yes	Casual	Casual, Upscale	Average	No	No	Free	No	No	Yes	http://www.coffee-cultures.com/contact-1/	info@coffee-cultures.com
Coin-Op Game Room	(628) 444-3277	coinopsf.com	508 4th StSan Francisco, CA 94107 b/t Perry St & Welsh St Mission Bay	Mon --> 4:00 pm - 2:00 am ; Tue --> 4:00 pm - 2:00 am ; Wed --> NA - NA ; Thu --> 4:00 pm - 2:00 am ; Fri --> 4:00 pm - 2:00 am ; Sat --> 12:00 pm - 2:00 am ; Sun --> 12:00 pm - 2:00 am ;	No	No	No	Yes	No	No	No	Dinner, Late Night	Street	Yes	No	Yes	Casual	Hipster, Casual, Trendy	Loud	Full Bar	No	Free	No	Yes	Yes	http://coinopsf.com/	info@coinopsf.com, events@coinopsf.com
Commonwealth	(415) 355-1500	commonwealthsf.com	2224 Mission StSan Francisco, CA 94110 b/t 19th St & 18th St Mission	Mon --> 5:30 pm - 10:00 pm ; Tue --> 5:30 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 10:00 pm ; Fri --> 5:30 pm - 11:00 pm ; Sat --> 5:30 pm - 11:00 pm ; Sun --> 5:30 pm - 10:00 pm ;	Yes	No	No	Yes	No	NA	NA	Dinner	Private Lot	Yes	No	No	Casual	NA	Average	Beer & Wine Only	No	No	No	No	Yes	https://www.commonwealthsf.com/	inquiries@commonwealthsf.com
Contigo	(415) 285-0250	contigosf.com	1320 Castro StSan Francisco, CA 94114 b/t 24th St & Jersey St Noe Valley	Mon --> NA - NA ; Tue --> 5:30 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 10:00 pm ; Fri --> 5:30 pm - 10:00 pm ; Sat --> 5:30 pm - 10:00 pm ; Sun --> 5:30 pm - 9:30 pm ;	Yes	No	Yes	Yes	No	NA	NA	NA	Street	Yes	No	Yes	Casual	Trendy	Average	Beer & Wine Only	Yes	No	No	No	Yes	http://www.contigosf.com/	info@contigosf.com
Cool Cravings	(415) 771-4900	coolcravingssf.com	1635 Divisadero StSan Francisco, CA 94115 b/t Post St & Sutter St Lower Pacific Heights	Mon --> 6:00 am - 4:00 pm ; Tue --> 6:00 am - 4:00 pm ; Wed --> NA - NA ; Thu --> 6:00 am - 4:00 pm ; Fri --> 6:00 am - 4:00 pm ; Sat --> NA - NA ; Sun --> NA - NA ;	No	Yes	Yes	Yes	No	No	NA	Breakfast, Brunch, Lunch	Garage	Yes	Yes	Yes	Casual	Casual	Average	No	No	Free	Yes	Yes	Yes	http://coolcravingssf.com/	logo@2x.png, review-1@2x.jpg, author@2x.jpg, info@coolcravingssf.com
Cordon Bleu	(415) 673-5637	NA	1574 California StSan Francisco, CA 94109 b/t Larkin St & Polk St Nob Hill	Mon --> NA - NA ; Tue --> 11:30 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 10:00 pm ; Fri --> 11:30 am - 10:00 pm ; Sat --> 11:30 am - 10:00 pm ; Sun --> NA - NA ;	No	No	Yes	No	No	No	NA	Lunch, Dinner	Street	Yes	No	No	Casual	Divey	Average	No	No	No	No	No	Yes	NA	NA
Corridor Cafe	(415) 834-5684	corridorsf.com	100 Van Ness AveSan Francisco, CA 94102 Civic Center	Mon --> 7:00 am - 4:00 pm ; Tue --> 7:00 am - 4:00 pm ; Wed --> NA - NA ; Thu --> 7:00 am - 4:00 pm ; Fri --> 7:00 am - 4:00 pm ; Sat --> 9:00 am - 2:30 pm ; Sun --> NA - NA ;	Yes	No	Yes	Yes	Yes	NA	NA	Breakfast, Brunch	Street	Yes	Yes	No	Casual	Casual	Average	No	Yes	Free	No	No	NA	http://corridorsf.com/	NA
Counter Offer	(415) 341-0169	NA	800 S Van Ness AveSan Francisco, CA 94110 b/t 19th St & 20th St Mission	Mon --> 4:00 pm - 10:00 pm ; Tue --> 4:00 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 4:00 pm - 11:00 pm ; Fri --> 4:00 pm - 11:00 pm ; Sat --> 4:00 pm - 10:00 pm ; Sun --> NA - NA ;	No	No	Yes	Yes	NA	NA	No	NA	Garage, Street	Yes	No	Yes	Casual	Divey	Average	Full Bar	Yes	Free	Yes	No	NA	NA	NA
Craftsman and Wolves	(415) 913-7713	craftsman-wolves.com	746 Valencia StSan Francisco, CA 94110 b/t 19th St & 18th St Mission	Mon --> 7:00 am - 5:00 pm ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> 7:00 am - 5:00 pm ; Fri --> 7:00 am - 5:00 pm ; Sat --> 8:00 am - 5:00 pm ; Sun --> 8:00 am - 5:00 pm ;	No	No	Yes	Yes	No	No	No	Breakfast, Brunch	Street	Yes	Yes	Yes	Casual	Hipster	Average	Beer & Wine Only	Yes	No	No	Yes	Yes	http://www.craftsman-wolves.com/contact/	hello@craftsmanwolves.com, connect@craftsman-wolves.com, sl@outfitgeneric.com
Craftsman and Wolves	(415) 855-1414	craftsman-wolves.com	1643 Pacific AveSan Francisco, CA 94109 b/t Polk St & United States Highway 101 Nob Hill	Mon --> 7:00 am - 5:00 pm ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> 7:00 am - 5:00 pm ; Fri --> 7:00 am - 5:00 pm ; Sat --> 8:00 am - 5:00 pm ; Sun --> 8:00 am - 5:00 pm ;	No	No	Yes	Yes	Yes	No	No	Breakfast, Brunch	Street	Yes	Yes	Yes	Casual	Hipster, Trendy	Average	No	No	Free	No	Yes	Yes	http://www.craftsman-wolves.com/contact/	hello@craftsmanwolves.com, connect@craftsman-wolves.com, sl@outfitgeneric.com
Crazy Crab’z	NA	NA	24 Willie Mays PlzAT&T ParkSan Francisco, CA 94107 South Beach	Mon --> NA - NA ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> NA - NA ; Fri --> NA - NA ; Sat --> NA - NA ; Sun --> NA - NA ;	No	No	Yes	Yes	No	NA	NA	Lunch, Dinner	Private Lot	Yes	Yes	Yes	Casual	Casual	Loud	Beer & Wine Only	Yes	Free	No	No	NA	NA	NA
Crepes A Go Go	(415) 503-1294	NA	350 11th StSan Francisco, CA 94103 b/t Folsom St & Harrison St SoMa	Mon --> NA - NA ; Tue --> 6:00 am - 12:00 am ; Wed --> NA - NA ; Thu --> 6:00 pm - 3:00 am ; Fri --> 6:00 pm - 4:00 am ; Sat --> 6:00 pm - 4:00 am ; Sun --> 6:00 pm - 12:00 am ;	No	No	Yes	No	No	No	NA	Late Night	Street	Yes	Yes	Yes	Casual	Casual	Average	No	Yes	No	No	No	NA	NA	NA
Crepes Ooh La La	(415) 409-4646	NA	1220 Polk StSan Francisco, CA 94109 b/t Fern St & Sutter St Lower Nob Hill	Mon --> 6:00 pm - 1:00 am ; Tue --> 6:00 pm - 1:00 am ; Wed --> NA - NA ; Thu --> 6:00 pm - 2:00 am ; Fri --> 6:00 pm - 2:00 am ; Sat --> 6:00 pm - 2:00 am ; Sun --> 6:00 pm - 1:00 am ;	No	No	Yes	Yes	No	No	NA	NA	Street	No	Yes	Yes	Casual	Casual	Average	No	No	No	No	No	Yes	NA	NA
Crepevine Restaurant	(415) 681-5858	crepevine.com	624 Irving StSan Francisco, CA 94122 b/t 7th Ave & 8th Ave Inner Sunset	Mon --> 7:30 am - 11:00 pm ; Tue --> 7:30 am - 11:00 pm ; Wed --> NA - NA ; Thu --> 7:30 am - 11:00 pm ; Fri --> 7:30 am - 12:00 am ; Sat --> 7:30 am - 12:00 am ; Sun --> 7:30 am - 11:00 pm ;	No	No	Yes	Yes	No	No	NA	Breakfast, Brunch, Lunch	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	Free	Yes	No	Yes	http://crepevine.com/	NA
Crossroads Cafe	(415) 512-5111	delanceystreetfoundation.org	699 Delancey StSan Francisco, CA 94107 at Brannan St South Beach	Mon --> 7:00 am - 10:00 pm ; Tue --> 7:00 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 7:00 am - 10:00 pm ; Fri --> 7:00 am - 10:00 pm ; Sat --> 8:00 am - 10:00 pm ; Sun --> 8:00 am - 5:00 pm ;	No	No	Yes	Yes	No	No	NA	Breakfast, Lunch	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	Yes	No	No	No	NA	http://delanceystreetfoundation.org/	NA
Cuisine of Nepal	(415) 647-2222	cuisineofnepal.com	3486 Mission StSan Francisco, CA 94110 b/t Cortland Ave & Kingston St Bernal Heights, Mission	Mon --> NA - NA ; Tue --> 11:00 am - 2:30 pm4:30 pm - 10:30 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 2:30 pm4:30 pm - 10:30 pm ; Fri --> 11:00 am - 2:30 pm4:30 pm - 10:30 pm ; Sat --> 11:00 am - 2:30 pm4:30 pm - 10:30 pm ; Sun --> 11:00 am - 2:30 pm4:30 pm - 10:30 pm ;	Yes	Yes	Yes	Yes	No	No	NA	Lunch, Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	No	Yes	Yes	http://cuisineofnepal.com/	prem@cuisineofnepal.com
Cup Cafe	(925) 705-2521	cupsf.com	6 Monterey BlvdSan Francisco, CA 94131 b/t Diamond St & Joost Ave Sunnyside, Outer Mission	Mon --> 6:00 am - 2:00 pm ; Tue --> 6:00 am - 2:00 pm ; Wed --> NA - NA ; Thu --> 6:00 am - 12:00 pm ; Fri --> 6:00 am - 2:00 pm ; Sat --> 7:00 am - 2:00 pm ; Sun --> 7:00 am - 2:00 pm ;	No	No	Yes	Yes	Yes	Yes	No	Breakfast, Lunch	Street	Yes	Yes	No	Casual	Casual	Quiet	No	Yes	Free	No	No	Yes	http://www.cupsf.com/	NA
Curry Leaf	(415) 440-4293	curryleafinsf.com	943 Columbus AveSan Francisco, CA 94133 b/t Chestnut St & Taylor St Russian Hill	Mon --> NA - NA ; Tue --> 11:00 am - 3:00 pm4:45 pm - 11:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 3:00 pm4:45 pm - 11:00 pm ; Fri --> 11:00 am - 3:00 pm4:45 pm - 11:00 pm ; Sat --> 11:00 am - 3:00 pm4:45 pm - 11:00 pm ; Sun --> 11:00 am - 3:00 pm4:45 pm - 11:00 pm ;	No	No	Yes	Yes	No	Yes	NA	Lunch, Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	No	Yes	No	No	Yes	Yes	http://curryleafinsf.com/	NA
Daigo Sushi	(415) 386-8008	daigosushi.com	2450 Clement StSan Francisco, CA 94121 b/t 26th Ave & 25th Ave Outer Richmond	Mon --> 5:00 pm - 10:00 pm ; Tue --> NA - NA ; Wed --> NA - NA ; Thu --> 5:00 pm - 10:00 pm ; Fri --> 5:00 pm - 11:00 pm ; Sat --> 5:00 pm - 11:00 pm ; Sun --> 5:00 pm - 10:00 pm ;	Yes	No	No	Yes	No	NA	NA	Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	Beer & Wine Only	No	No	No	No	NA	http://daigosushi.com/	NA
Daniel’s Cafe	(415) 956-1760	NA	154 Ellis StSan Francisco, CA 94102 at Mason St Union Square	Mon --> 7:00 am - 8:00 pm ; Tue --> 7:00 am - 8:00 pm ; Wed --> NA - NA ; Thu --> 7:00 am - 8:00 pm ; Fri --> 7:00 am - 8:00 pm ; Sat --> 7:00 am - 8:00 pm ; Sun --> 7:00 am - 8:00 pm ;	No	No	Yes	No	No	No	NA	NA	Street	No	Yes	No	Casual	Casual	Average	No	Yes	No	No	No	NA	NA	NA
Dapper Dog	(415) 553-6332	NA	417 Castro StSan Francisco, CA 94114 b/t 18th St & 17th St Castro	Mon --> 11:00 am - 11:00 pm ; Tue --> 11:00 am - 11:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 1:00 am ; Fri --> 11:00 am - 2:30 am ; Sat --> 11:00 am - 2:30 am ; Sun --> 11:00 am - 1:00 am ;	No	No	Yes	Yes	No	NA	NA	Lunch, Dinner, Late Night	Street	Yes	Yes	No	Casual	Casual	Average	No	Yes	No	No	Yes	NA	NA	NA
Darwin Cafe	(415) 800-8668	darwincafesf.com	212 Ritch StSan Francisco, CA 94107 b/t Brannan St & Bryant St Mission Bay	Mon --> 8:00 am - 4:00 pm ; Tue --> 8:00 am - 4:00 pm ; Wed --> NA - NA ; Thu --> 8:00 am - 4:00 pm ; Fri --> 8:00 am - 4:00 pm ; Sat --> 10:00 am - 3:00 pm ; Sun --> 10:00 am - 3:00 pm ;	No	No	Yes	Yes	No	No	No	Lunch	Street	Yes	No	No	Casual	Hipster	Average	Beer & Wine Only	Yes	Free	No	Yes	Yes	http://darwincafesf.com/	afe212@gmail.com
De Afghanan Kabob House	(415) 929-1124	deafghanancuisine.com	1035 Geary StSan Francisco, CA 94109 b/t Polk St & United States Highway 101 Tenderloin	Mon --> NA - NA ; Tue --> 11:30 am - 3:00 pm5:00 pm - 9:30 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 3:00 pm5:00 pm - 9:30 pm ; Fri --> 11:30 am - 3:00 pm5:00 pm - 10:00 pm ; Sat --> 11:30 am - 3:00 pm4:00 pm - 10:00 pm ; Sun --> 11:30 am - 3:00 pm4:00 pm - 9:30 pm ;	No	No	Yes	Yes	No	No	NA	Dinner	Street	Yes	Yes	Yes	Casual	Casual	Average	No	No	No	No	No	Yes	http://deafghanancuisine.com/	NA
Delfina	(415) 552-4055	delfinasf.com	3621 18th StSan Francisco, CA 94110 b/t Guerrero St & Oakwood St Mission	Mon --> 5:30 pm - 10:00 pm ; Tue --> 5:30 pm - 10:00 pm ; Wed --> NA - NA ; Thu --> 5:30 pm - 10:00 pm ; Fri --> 5:30 pm - 11:00 pm ; Sat --> 5:30 pm - 11:00 pm ; Sun --> 5:00 pm - 10:00 pm ;	NA	No	Yes	Yes	No	NA	NA	Dinner	Street	Yes	No	Yes	Casual	Trendy	Average	Beer & Wine Only	No	No	No	Yes	Yes	http://www.delfinasf.com/	NA
Deli Board	(415) 552-7687	deliboardsf.com	1058 Folsom StSan Francisco, CA 94103 b/t Russ St & Sherman St SoMa	Mon --> 11:00 am - 3:00 pm ; Tue --> 11:00 am - 3:00 pm ; Wed --> NA - NA ; Thu --> 11:00 am - 3:00 pm ; Fri --> 11:00 am - 3:00 pm ; Sat --> 11:00 am - 4:00 pm ; Sun --> NA - NA ;	No	No	Yes	Yes	Yes	No	NA	Lunch	Street	Yes	Yes	Yes	Casual	Casual	Average	No	Yes	No	No	Yes	Yes	http://www.deliboardsf.com/contact/	adam@deliboardsf.com
Destino	(415) 552-4451	destinosf.com	1815 Market StSan Francisco, CA 94103 Mission	Mon --> NA - NA ; Tue --> 5:00 pm - 11:00 pm ; Wed --> NA - NA ; Thu --> 5:00 pm - 11:00 pm ; Fri --> 5:00 pm - 12:00 am ; Sat --> 5:00 pm - 12:00 am ; Sun --> 5:00 pm - 11:00 pm ;	Yes	No	No	Yes	No	NA	No	Dinner	Street	No	No	Yes	Casual	Trendy	Average	Full Bar	No	Free	Yes	Yes	Yes	http://www.destinosf.com/	NA
Diamond Cafe	(415) 655-3674	diamondonnoe.com	751 Diamond StSan Francisco, CA 94114 b/t 24th St & Elizabeth St Noe Valley	Mon --> 7:00 am - 4:00 pm ; Tue --> 7:00 am - 4:00 pm ; Wed --> NA - NA ; Thu --> 7:00 am - 4:00 pm ; Fri --> 7:00 am - 4:00 pm ; Sat --> 7:00 am - 4:00 pm ; Sun --> 7:00 am - 4:00 pm ;	No	No	Yes	Yes	Yes	Yes	NA	Breakfast, Brunch, Lunch	Street	Yes	Yes	No	Casual	Casual	Average	Beer & Wine Only	Yes	Free	No	No	Yes	http://www.diamondonnoe.com/contact	diamondcafelunches@gmail.com, josue.marin.ch@gmail.com
Dinosaurs	(415) 503-1421	eatdinosaurs.bigcartel.com	2275 Market StSan Francisco, CA 94114 b/t Sanchez St & 16th St Castro	Mon --> 9:00 am - 10:00 pm ; Tue --> 9:00 am - 10:00 pm ; Wed --> NA - NA ; Thu --> 9:00 am - 10:00 pm ; Fri --> 9:00 am - 10:00 pm ; Sat --> 10:00 am - 10:00 pm ; Sun --> 10:00 am - 10:00 pm ;	No	No	Yes	Yes	Yes	No	NA	Lunch	Street	Yes	Yes	No	Casual	Casual	Average	Beer & Wine Only	Yes	No	No	Yes	Yes	http://eatdinosaurs.bigcartel.com/contact	NA
Dinosaurs Vietnamese Sandwiches	(415) 701-1421	eatdinosaurs.com	18 Boardman PlSan Francisco, CA 94103 b/t Fargo Pl & Bryant St Mission Bay	Mon --> 10:00 am - 5:00 pm ; Tue --> 10:00 am - 5:00 pm ; Wed --> NA - NA ; Thu --> 10:00 am - 5:00 pm ; Fri --> 10:00 am - 5:00 pm ; Sat --> NA - NA ; Sun --> NA - NA ;	No	No	Yes	Yes	Yes	NA	No	Lunch	Street	Yes	Yes	No	Casual	Casual	Quiet	No	No	No	No	Yes	NA	http://eatdinosaurs.bigcartel.com/contact	NA
DIP	(415) 757-0775	dipbistro.com	1318 Grant AveSan Francisco, CA 94133 b/t Vallejo St & Green St North Beach/Telegraph Hill	Mon --> 11:30 am - 10:30 pm ; Tue --> 11:30 am - 10:30 pm ; Wed --> NA - NA ; Thu --> 11:30 am - 10:30 pm ; Fri --> 11:30 am - 10:30 pm ; Sat --> 11:30 am - 10:30 pm ; Sun --> 11:30 am - 10:30 pm ;	No	Yes	Yes	Yes	Yes	Yes	NA	Lunch	Street	Yes	Yes	No	Casual	Casual	Quiet	No	No	No	No	Yes	Yes	http://www.dipbistro.com/	NA
